tweet,created_at,lang
RT @john_holiness: Donald Trump is not eligilbe to hold any office under the 14th Amendment to the Constituion. We MUST ENFORCE the Constit…,2025-01-02 23:02:01+00:00,en
"RT @mmpadellan: Let's start the new year off with some cold, hard truths:
- Donald trump is a convicted felon.
- He did NOT win by a landsl…",2025-01-02 23:02:01+00:00,en
RT @laralogan: Jack Smith is running for his life.This case was always outside his jurisdiction. Now it looks like they are preparing to pr…,2025-01-02 23:02:01+00:00,en
"RT @eduardomenoni: 🚨| ÚLTIMA HORA: Los sospechosos de los ataques de ayer en Nueva Orleans y la Torre Trump en Las Vegas, fueron militares…",2025-01-02 23:02:00+00:00,es
"RT @El_Universal_Mx: ✍️ ""Claudia Sheinbaum no ha hecho más que descalificar un trabajo periodístico que muestra la realidad de lo que suced…",2025-01-02 23:02:00+00:00,es
RT @thedailybeast: EXCLUSIVE | The man suspected of being behind Tesla Cybertruck explosion in Las Vegas was a “big” supporter of Donald Tr…,2025-01-02 23:01:59+00:00,en
"RT @MikeSington: “Here he goes again!” Jim Acosta rips into Donald Trump for, once again, lying to the American people. (Video: CNN) https:…",2025-01-02 23:01:59+00:00,en
RT @politvidchannel: BREAKING: the British people just named Donald Trump 'the worst thing to ever come out of America' in new poll. https:…,2025-01-02 23:01:59+00:00,en
RT @TheFloridaMike: We voted for Donald Trump and an America First agenda in November. That means we quit financing a foreign war in Ukrain…,2025-01-02 23:01:58+00:00,en
RT @laralogan: Jack Smith is running for his life.This case was always outside his jurisdiction. Now it looks like they are preparing to pr…,2025-01-02 23:01:58+00:00,en
RT @RedKnight277: 2 American veterans are radicalized to commit acts of terror on the same day. Got vehicles from the same company. Both se…,2025-01-02 23:01:58+00:00,en
RT @politvidchannel: BREAKING: the British people just named Donald Trump 'the worst thing to ever come out of America' in new poll. https:…,2025-01-02 23:01:58+00:00,en
"RT @DefiyantlyFree: After today, when Republicans say they want the FBI background check on Donald Trump’s cabinet appointments, they shoul…",2025-01-02 23:01:57+00:00,en
"RT @Jhonffonseca: 🚨🇺🇸URGENTE: DONALD TRUMP
AFIRMA QUE MARIA CORINA ES LA LÍDER Y ESPERANZA DE TODA VENEZUELA:

¿ESTÁS DE ACUERDO? https://t…",2025-01-02 23:01:56+00:00,es
RT @hermanntertsch: “Alice Weidel se reunirá con Elon Musk. Donald Trump los invita personalmente. ¿El gobierno federal alemán? Al borde de…,2025-01-02 23:01:56+00:00,es
RT @DisavowTrump20: 🚨NEW: Congressman Ro Khanna (D-CA) calls for a ban on PAC/lobbyist money and to overturn Citizens United after the extr…,2025-01-02 23:01:56+00:00,en
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:01:56+00:00,en
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:01:56+00:00,en
"RT @TimKoffiziell: Dr. Alice #Weidel wird sich am 10. Januar 2025 mit Elon #Musk in New York zu einem exklusiven Interview, das live ausges…",2025-01-02 23:01:55+00:00,de
"RT @UNoticias: Petroleros de Texas exigen a Trump el cese de sanciones contra Venezuela y Cuba

En una misiva enviada a Donald Trump, recha…",2025-01-02 23:01:55+00:00,es
RT @RawStory: President-elect Donald Trump should be disqualified under the Fourteenth Amendment's Insurrection Clause when Congress gather…,2025-01-02 23:01:55+00:00,en
"RT @PTLRadioShow: Donald Trump not only tried to politicize the attack on New Orleans, he also blatantly lied about it by blaming on a migr…",2025-01-02 23:01:55+00:00,en
"RT @WallStreetApes: They ALWAYS know

Pakistan National flys to Iran, then flys into Texas, he is on THE TERROR WATCHLIST, he then gets int…",2025-01-02 23:01:54+00:00,en
"RT @Acyn: Jessica: But when you say I'm embarrassed watching Biden, I'm not embarrassed seeing someone stand up there and say let's wait fo…",2025-01-02 23:01:53+00:00,en
RT @AlecLace: 🚨BREAKING:  Matthew Livelsberger has been identified as the person responsible for detonating a Cybertruck in front of Trump…,2025-01-02 23:01:53+00:00,en
@iluminatibot Donald Trump is having a diet coke button installed in the Oval Office 🫤,2025-01-02 23:01:53+00:00,en
RT @Damaan4u33: Do you believe that the Donald Trump/Elon Musk co-op presidency will only produce more hate and meanness in America? Yes or…,2025-01-02 23:01:53+00:00,en
RT @MadeInTheUSANJ: Jim Jordan failed to comply with multiple congressional subpoenas regarding his communications with Donald Trump during…,2025-01-02 23:01:52+00:00,en
"RT @BarronTrumpoo: 🚨Do you support Donald Trump BANNING Gender reassignment surgeries for kids in ALL 50 States ?
 
A. YES 
B. NO https://t…",2025-01-02 23:01:51+00:00,en
RT @Georgia638: @CortesSteve We The People voted for Donald J Trump. @SpeakerPelosi why do you want to make America fail? How does the cont…,2025-01-02 23:01:51+00:00,en
RT @TuckerCNews: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse th…,2025-01-02 23:01:51+00:00,en
"RT @TuckerCNews: IF Donald Trump invited you to his Inauguration, would you go?

YES or NO? https://t.co/5MDnYKkIva",2025-01-02 23:01:50+00:00,en
RT @RawStory: President-elect Donald Trump should be disqualified under the Fourteenth Amendment's Insurrection Clause when Congress gather…,2025-01-02 23:01:50+00:00,en
"RT @AdameMedia: The truth about ISIS. 

ISIS is an lsraeIi-American creation. This is according to both Hillary Clinton and Donald trump.…",2025-01-02 23:01:50+00:00,en
RT @laderechadiario: 🇺🇲 | Donald Trump reaccionó ante los cuatro atentados terroristas islamicos que ocurrieron en Año Nuevo en Estados Uni…,2025-01-02 23:01:50+00:00,es
RT @OccupyDemocrats: BREAKING: CNN's Jim Acosta unleashes a fiery tirade against Donald Trump after he spreads blatant lies about the New O…,2025-01-02 23:01:49+00:00,en
"RT @DefiyantlyFree: After today, when Republicans say they want the FBI background check on Donald Trump’s cabinet appointments, they shoul…",2025-01-02 23:01:49+00:00,en
"@RepMTG 1989

« Would you kill for me, Matty? »
Donald repeated, as if he were a cheerleader inciting a crowd to riot
« Yes, sir, Mr. #Trump! »
« Would you kill for me, Matty? »
« Yes, sir, Mr. Trump! »

« See. »Donald grinned, turning back toward Fitzsimmons. « Matty would kill for me » https://t.co/xrGInIGmqS",2025-01-02 23:01:49+00:00,en
"RT @El_Universal_Mx: ✍️ ""Claudia Sheinbaum no ha hecho más que descalificar un trabajo periodístico que muestra la realidad de lo que suced…",2025-01-02 23:01:49+00:00,es
RT @DisavowTrump20: 🚨NEW: Congressman Ro Khanna (D-CA) calls for a ban on PAC/lobbyist money and to overturn Citizens United after the extr…,2025-01-02 23:01:48+00:00,en
"@BGThompsonMS Thank you for all the J6 Committee under your leadership
did to unmask the role of Donald Trump in the insurrection on this country in 2020.",2025-01-02 23:01:48+00:00,en
RT @OccupyDemocrats: BREAKING: CNN's Jim Acosta unleashes a fiery tirade against Donald Trump after he spreads blatant lies about the New O…,2025-01-02 23:01:48+00:00,en
RT @OccupyDemocrats: BREAKING: CNN's Jim Acosta unleashes a fiery tirade against Donald Trump after he spreads blatant lies about the New O…,2025-01-02 23:01:48+00:00,en
"RT @CoreyRForrester: Between the Cyber Truck explosion and the act of damn terror in New Orleans, Donald Trump and Elon Musk never miss an…",2025-01-02 23:01:46+00:00,en
RT @realTrumpNewsX: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse…,2025-01-02 23:01:46+00:00,en
RT @ArtCandee: Elon Musk wants to fix the Tesla Cybertruck that blew up with a man inside of it in front of Donald Trump's Las Vegas hotel…,2025-01-02 23:01:46+00:00,en
RT @RawStory: President-elect Donald Trump should be disqualified under the Fourteenth Amendment's Insurrection Clause when Congress gather…,2025-01-02 23:01:45+00:00,en
"@IvankaNews_ Donald Trump Jr just got a girlfriend that looks like his sister so he can fulfill his fantasy, just like his pedophile Daddy that raped Katie Johnson back in 1994 with Jeffrey Epstein.",2025-01-02 23:01:45+00:00,en
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:01:45+00:00,en
"RT @TuckerCarlsonHQ: Donald Trump has built a movement that fights for freedom, prosperity, and patriotism.
Do you support his fight for Am…",2025-01-02 23:01:45+00:00,en
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:01:45+00:00,en
"RT @MidiaLibre: Condenado em 3 instâncias, depois descondenado pelo STF, agora presidente,O CHEFE querendo ensinar moralidade! Só acontece…",2025-01-02 23:01:44+00:00,pt
"RT @SarahJaneThomo: Rupert Murdock is a cunt
Elon Musk is a cunt
Donald Trump is a cunt
JD Vance is a cunt
Putin is a cunt
Nigel Farage is…",2025-01-02 23:01:43+00:00,en
"RT @america: President-Elect Donald Trump when asked if he has any resolutions for 2025: “I just want everybody to be happy, healthy, and w…",2025-01-02 23:01:43+00:00,en
RT @pipoolimpio: E vcs dando like em gays com donald trump e Bolsonaro pqppppoo https://t.co/CCIw2Pymao,2025-01-02 23:01:43+00:00,pt
"RT @RaheemKassam: NEW @thenatpulse: Trump Posts Pro-H1B Piece from Far Left Editorial Board. The Responses Are Worth Reading.

President-el…",2025-01-02 23:01:42+00:00,en
"RT @DrPuerner: Anscheinend leiden einige unserer Politiker und deren Schreiberlinge in den Redaktionen an Erinnerungslücken. 

Gerne helfe…",2025-01-02 23:01:42+00:00,de
"RT @Acyn: Jessica: But when you say I'm embarrassed watching Biden, I'm not embarrassed seeing someone stand up there and say let's wait fo…",2025-01-02 23:01:42+00:00,en
"RT @zeitonline: Und es hat Bumm gemacht: Ein Auto von Elon Musk explodiert vor einem Hotel von Donald Trump. Die Aufregung darüber beweist,…",2025-01-02 23:01:42+00:00,de
RT @RealSHIRA: „Alice Weidel trifft Elon Musk. Donald Trump lädt sie persönlich ein. Die Bundesregierung? Am Rande eines Nervenzusammenbruc…,2025-01-02 23:01:42+00:00,de
"RT @JDLuckenbach: @CalltoActivism Liz Cheney and Bennie Thompson absolutely deserve this honor.
Unless we’re ready to throw the United Stat…",2025-01-02 23:01:42+00:00,en
RT @thedailybeast: EXCLUSIVE | The man suspected of being behind Tesla Cybertruck explosion in Las Vegas was a “big” supporter of Donald Tr…,2025-01-02 23:01:41+00:00,en
RT @TuckerCNews: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse th…,2025-01-02 23:01:41+00:00,en
"RT @RobertMSterling: Jokes aside, this is one of the most meaningful gestures I’ve ever seen from a political leader. Donald Trump is showi…",2025-01-02 23:01:41+00:00,en
RT @MelaniaTrumpo: 🚨BREAKING: Supreme Court Justice Clarence Thomas has called for all charges against Donald Trump to be dropped immediate…,2025-01-02 23:01:41+00:00,en
"RT @WallStreetApes: They ALWAYS know

Pakistan National flys to Iran, then flys into Texas, he is on THE TERROR WATCHLIST, he then gets int…",2025-01-02 23:01:41+00:00,en
"Those comments made by Schiff only serves to prove his narcissism, like Donald Trump has nothing else to think about except for this dip shit,  bug eyed @AdamSchiff https://t.co/6nGDk1R6WR",2025-01-02 23:01:41+00:00,en
"RT @TRUMP_ARMY_: 🚨 BREAKING: President-elect Donald Trump Says, Biden-Harris Administration is responsible for these Terroriṣt Attacks. 

D…",2025-01-02 23:01:41+00:00,en
RT @WallStreetApes: HUGE ‼️ For everyone doubting Donald Trump and Tom Homan’s plan to actually carry out mass deportations you need to hea…,2025-01-02 23:01:40+00:00,en
RT @thejackhopkins: Donald Trump isn’t a Republican issue. He isn’t a Democratic issue. He’s a national security threat issue.,2025-01-02 23:01:40+00:00,en
RT @realTrumpNewsX: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse…,2025-01-02 23:01:40+00:00,en
RT @DefiyantlyFree: I read a fascinating article about the top ten woke leaders in the military who are causing irreparable damage and shou…,2025-01-02 23:01:39+00:00,en
"RT @MadeInTheUSANJ: On May 12, 2023, as a private citizen, while campaigning to become our President, a Manhattan jury, consisting of nine…",2025-01-02 23:01:39+00:00,en
RT @realTrumpNewsX: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse…,2025-01-02 23:01:39+00:00,en
RT @TuckerCNews: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse th…,2025-01-02 23:01:39+00:00,en
@Shawn_Farash @FBI I'm not going to go out on a limb and say Donald Trump is a POS RAPIST and TRAITOR and his supporters are a bunch of losers and human garbage,2025-01-02 23:01:38+00:00,en
"RT @Jhonffonseca: 🚨🇺🇸URGENTE: DONALD TRUMP
AFIRMA QUE MARIA CORINA ES LA LÍDER Y ESPERANZA DE TODA VENEZUELA:

¿ESTÁS DE ACUERDO? https://t…",2025-01-02 23:01:38+00:00,es
"RT @eduardomenoni: 🚨| ÚLTIMA HORA: Los sospechosos de los ataques de ayer en Nueva Orleans y la Torre Trump en Las Vegas, fueron militares…",2025-01-02 23:01:37+00:00,es
RT @DefiyantlyFree: Strap on the armor of God and get ready because it is going to be difficult and it is going to require a lot of work to…,2025-01-02 23:01:37+00:00,en
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:01:37+00:00,en
RT @OccupyDemocrats: BREAKING: CNN's Jim Acosta unleashes a fiery tirade against Donald Trump after he spreads blatant lies about the New O…,2025-01-02 23:01:37+00:00,en
RT @TuckerCNews: 🚨 BREAKING: Donald Trump confirms he is prepared to declare a national emergency and use the military assets to reverse th…,2025-01-02 23:01:36+00:00,en
"RT @MammothNationUS: He did it. 

President Donald J. Trump is heading BACK to the White House to Make America Great Again!",2025-01-02 23:01:36+00:00,en
RT @RedKnight277: 2 American veterans are radicalized to commit acts of terror on the same day. Got vehicles from the same company. Both se…,2025-01-02 23:01:36+00:00,en
"RT @eduardomenoni: 🚨| ÚLTIMA HORA: Los sospechosos de los ataques de ayer en Nueva Orleans y la Torre Trump en Las Vegas, fueron militares…",2025-01-02 23:01:36+00:00,es
RT @TradutordoBR: Donald Trump começa o ano afirmando que 'as pessoas voltarão a respeitar os Estados Unidos' e que agora 'há uma luz sobre…,2025-01-02 23:01:36+00:00,pt
"RT @WallStreetApes: They ALWAYS know

Pakistan National flys to Iran, then flys into Texas, he is on THE TERROR WATCHLIST, he then gets int…",2025-01-02 23:01:35+00:00,en
RT @JewsAreTheGOAT: 🚨BREAKING: Prominent MAGA influencers and U.S. senators are calling on President Donald Trump to impose severe sanction…,2025-01-02 23:01:35+00:00,en
